class	book	page number	armor proficiencies	weapon proficiencies	tool proficiencies	saving throws	number of skill proficiencies	skill proficiencies	equipment choices	given equipment	summary
Barbarian	PHB	46	Light, Medium, Shields	Simple, Martial	None	Strength, Constitution	2	Animal Handling, Athletics, Intimidation, Nature, Perception, Survival	(Greataxe, Martial Melee), (2 Handaxes, Simple)	Explorer's Pack, 4 Javelins	People of towns and cities take pride in how their civilized ways set them apart from animals, as if denying one’s own nature was a mark of superiority. To a barbarian, though, civilization is no virtue, but a sign of weakness. The strong embrace their animal nature— keen instincts, primal physicality, and ferocious rage. Barbarians are uncomfortable when hedged in by walls and crowds. They thrive in the wilds of their homelands: the tundra, jungle, or grasslands where their tribes live and hunt. <br> Barbarians come alive in the chaos of combat. They can enter a berserk state where rage takes over, giving them superhuman strength and resilience. A barbarian can draw on this reservoir of fury only a few times without resting, but those few rages are usually sufficient to defeat whatever threats arise.
Bard	PHB	51	Light	Simple, Hand Crossbow, Longsword, Rapier, Shortsword	3 Instruments	Dexterity, Charisma	3	All	(Rapier, Longsword, Simple), (Diplomat's Pack, Entertainer's Pack), (Lute, Instrument)	Leather Armor, Dagger	In the worlds of D&D, words and music are not just vibrations of air, but vocalizations with power all their own. The bard is a master of song, speech, and the magic they contain. Bards say that the multiverse was spoken into existence, that the words of the gods gave it shape, and that echoes of these primordial Words of Creation still resound throughout the cosmos. The music of bards is an attempt to snatch and harness those echoes, subtly woven into their spells and powers. <br> The greatest strength of bards is their sheer versatility. Many bards prefer to stick to the sidelines in combat, using their magic to inspire their allies and hinder their foes from a distance. But bards are capable of defending themselves in melee if necessary. using their magic to bolster their swords and armor. Their spells lean toward charms and illusions rather than blatantly destructive spells. They have a wide-ranging knowledge of many subjects and a natural aptitude that lets them do almost anything well. Bards become masters of the talents they set their minds to perfecting, from musical performance to esoteric knowledge.
Cleric	PHB	56	Light, Medium, Shields	Simple	None	Wisdom, Charisma	2	History, Insight, Medicine, Persuasion, Religion	(Mace, Warhammer), (Scale Mail, Leather Armor, Chaim Mail), (Light Crossbow adn 20 Bolts, simple), (Preiest's Pack, Explorer's Pack)	Shield, Holy Symbol	Divine magic, as the name suggests, is the power of the gods, flowing from them into the world. Clerics are conduits for that power, manifesting it as miraculous effects. The gods don’t grant this power to everyone who seeks it, but only to those chosen to fulfill a high calling. <br> Harnessing divine magic doesn’t rely on study or training. A cleric might learn formulaic prayers and ancient rites, but the ability to cast cleric spells relies on devotion and an intuitive sense of a deity’s wishes. <br> Clerics combine the helpful magic of healing and inspiring their allies with spells that harm and hinder foes. They can provoke awe and dread, lay curses of plague or poison, and even call down flames from heaven to consume their enemies. For those evildoers who will benefit most from a mace to the head, clerics depend on their combat training to let them wade into melee with the power of the gods on their side.
Druid	PHB	64	Light, Medium, Shields	Club, Dagger, Dart, Javelin, Mace, Quarterstaff, Scimitar, Sickle, Sling, Spear	Herbalism Kit	Intelligence, Wisdom	2	Arcana, Animal Handling, Insight, Medicine, Nature, Perception, Religion, Survival	(Wooden Shield, Simple), (Scimitar, Simple Melee)	Leather Armor, Explorer's Pack, Druidic Focus	Druids revere nature above all, gaining their spells and other magical powers either from the force of nature itself or from a nature deity. Many druids pursue a mystic spirituality of transcendent union with nature rather than devotion to a divine entity, while others serve gods of wild nature, animals, or elemental forces. The ancient druidic traditions are sometimes called the Old Faith, in contrast to the worship of gods in temples and shrines. <br> Druid spells are oriented toward nature and animals—the power of tooth and claw, of sun and moon, of fire and storm. Druids also gain the ability to take on animal forms, and some druids make a particular study of this practice, even to the point where they prefer animal form to their natural form.
Fighter	PHB	70	Light, Medium, Heavy, Shield	Simple, Martial	None	Strength, Constitution	2	Acrobatics, Animal Handling, Athletics, History, Insight, Intimidation, Perception, Survival	(Chaim Mail, Leather Armor and Longbow and 20 Arrows), (Martial and Shield, 2 Martial), (Light Crossbow and 20 Bolts, 2 Handaxes), (Dungeoneer's Pack, Explorer's Pack	None	Fighters learn the basics of all combat styles. Every fighter can swing an axe, fence with a rapier, wield a longsword or a greatsword, use a bow, and even trap foes in a net with some degree of skill. Likewise, a fighter is adept with shields and every form of armor. Beyond that basic degree of familiarity, each fighter specializes in a certain style of combat. Some concentrate on archery, some on fighting with two weapons at once, and some on augmenting their martial skills with magic. This combination of broad general ability and extensive specialization makes fighters superior combatants on battlefields and in dungeons alike.
Monk	PHB	76	None	Simple, Shortsword	1 Artisan's Tools or Instrument	Strength, Dexterity	2	Acrobatics, Athletics, History, Insight, Religion, Stealth	(Shortsword, Simple), (Dungeoneer's Pack, Explorer's Pack)	10 Darts	Monks make careful study of a magical energy that most monastic traditions call ki. This energy is an element of the magic that suffuses the multiverse—specifically, the element that flows through living bodies. Monks harness this power within themselves to create magical effects and exceed their bodies’ physical capabilities, and some of their special attacks can hinder the flow of ki in their opponents. Using this energy, monks channel uncanny speed and strength into their unarmed strikes. As they gain experience, their martial training and their mastery of ki gives them more power over their bodies and the bodies of their foes.
Paladin	PHB	82	Light, Medium, Heavy, Shield	Simple, Martial	None	Wisdom, Charisma	2	Athletics, Insight, Intimidation, Medicine, Persuasion, Religion	(Martial and Shield, 2 Martial), (5 Javelins, Simple Melee), (Priest's Pack, Explorer's Pack)	Chain Mail, Holy Symbol	A paladin swears to uphold justice and righteousness, to stand with the good things of the world against the encroaching darkness, and to hunt the forces of evil wherever they lurk. Different paladins focus on various aspects of the cause of righteousness, but all are bound by the oaths that grant them power to do their sacred work. Although many paladins are devoted to gods of good, a paladin’s power comes as much from a commitment to justice itself as it does from a god. <br> Paladins train for years to learn the skills of combat, mastering a variety of weapons and armor. Even so, their martial skills are secondary to the magical power they wield: power to heal the sick and injured, to smite the wicked and the undead, and to protect the innocent and those who join them in the fight for justice.
Ranger	PHB	89	Light, Medium, Shields	Simple, Martial	None	Strength, Dexterity	3	Animal Handling, Athletics, Insight, Investigation, Nature, Perception, Stealth, Survival	(Scale Mail, Leather Armor), (2 Shortswords, 2 Simple Melee), (Dungeoneer's Pack, Explorer's Pack)	Longbow, Quiver, 20 Arrows	Warriors of the wilderness, rangers specialize in hunting the monsters that threaten the edges of civilization—humanoid raiders, rampaging beasts and monstrosities, terrible giants, and deadly dragons. They learn to track their quarry as a predator does, moving stealthily through the wilds and hiding themselves in brush and rubble. Rangers focus their combat training on techniques that are particularly useful against their specific favored foes. <br> Thanks to their familiarity with the wilds, rangers acquire the ability to cast spells that harness nature’s power, much as a druid does. Their spells, like their combat abilities, emphasize speed, stealth, and the hunt. A ranger’s talents and abilities are honed with deadly focus on the grim task of protecting the borderlands.
Rogue	PHB	94	Light	Simple, Hand Crossbow, Longsword, Rapier, Shortsword	Thieve's Tools	Dexterity, Intelligence	4	Acrobatics, Athletics, Deception, Insight, Intimidation, Investigation, Perception, Performance, Persuasion, Sleight of Hand, Stealth	(Rapier, Shortsword), (Shortbow and Quiver and 20 Arrows, Shortsword), (Burglar's Pack, Dungeoneer's Pack, Explorer's Pack)	Leather Armor, 2 Dagger, Thieve's Tools	Rogues devote as much effort to mastering the use of a variety of skills as they do to perfecting their combat abilities, giving them a broad expertise that few other characters can match. Many rogues focus on stealth and deception, while others refine the skills that help them in a dungeon environment, such as climbing, finding and disarming traps, and opening locks. <br> When it comes to combat, rogues prioritize cunning over brute strength. A rogue would rather make one precise strike, placing it exactly where the attack will hurt the target most, than wear an opponent down with a barrage of attacks. Rogues have an almost supernatural knack for avoiding danger, and a few learn magical tricks to supplement their other abilities.
Sorcerer	PHB	99	None	Daggers, Dart, Sling, Quarterstaff, Light Crossbow	None	Constitution, Charisma	2	Arcana, Deception, Insight, Intimidation, Persuasion, Religion	(Light Crossbow and 20 Bolt, Simple), (Component Pouch, Arcane Focus), (Dungeoneer's Pack, Explorer's Pack)	2 Dagger	Magic is a part of every sorcerer, suffusing body, mind, and spirit with a latent power that waits to be tapped. Some sorcerers wield magic that springs from an ancient bloodline infused with the magic of dragons. Others carry a raw, uncontrolled magic within them, a chaotic storm that manifests in unexpected ways. <br> The appearance of sorcerous powers is wildly unpredictable. Some draconic bloodlines produce exactly one sorcerer in every generation, but in other lines of descent every individual is a sorcerer. Most of the time, the talents of sorcery appear as apparent flukes. Some sorcerers can’t name the origin of their power, while others trace it to strange events in their own lives. The touch of a demon, the blessing of a dryad at a baby’s birth, or a taste of the water from a mysterious spring might spark the gift of sorcery. So too might the gift of a deity of magic, exposure to the elemental forces of the Inner Planes or the maddening chaos of Limbo, or a glimpse into the inner workings of reality. <br> Sorcerers have no use for the spellbooks and ancient tomes of magic lore that wizards rely on, nor do they rely on a patron to grant their spells as warlocks do. By learning to harness and channel their own inborn magic, they can discover new and staggering ways to unleash that power.
