Class	Subclass	Feature	Level	Description
Fighter	Base	Fighting Style	1	You adopt a particular style of fighting as your specialty. Choose one of the following options. You can't take a Fighting Style option more than once, even if you later get to choose again. Archery: You gain a +2 bonus to attack rolls you make with ranged weapons. Blind Fighting: You have blindsight with a range of 10 feet. Within that range, you can effectively see anything that isn't behind total cover, even if you're blinded or in darkness. You can also see an invisible creature within that range, unless the creature successfully hides from you. Defense: While you are wearing armor, you gain a +1 bonus to AC. Dueling: When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon. Great Weapon Fighting: When you roll a 1 or 2 on a damage die for an attack with a melee weapon you're wielding with two hands, you can reroll the die and must use the new roll, even if it's a 1 or a 2. The weapon must have the two-handed or versatile property for you to gain this benefit. Interception: When a creature you can see hits a target, other than you, within 5 feet of you with an attack, you can use your reaction to reduce the damage the target takes by 1d10 + your proficiency bonus (minimum of 0 damage). You must be wielding a shield or a simple or martial weapon to use this reaction. Protection: When a creature you can see attacks a target other than you within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield. Superior Technique: You learn one maneuver of your choice from those available to the Battle Master archetype. If a maneuver requires your target to make a saving throw, the DC equals 8 + your proficiency bonus + your Strength or Dexterity modifier (your choice). You gain one superiority die, which is a d6 (added to any superiority dice from another source). This die fuels your maneuvers and is expended when used. You regain expended superiority dice after a short or long rest. Thrown Weapon Fighting: You can draw a weapon with the thrown property as part of the attack you make with it. Additionally, when you hit with a ranged attack using a thrown weapon, you gain a +2 bonus to the damage roll. Two-Weapon Fighting: When you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack. Unarmed Fighting: Your unarmed strikes can deal bludgeoning damage equal to 1d6 + your Strength modifier on a hit. If you're not wielding any weapons or a shield when you make the attack roll, the d6 becomes a d8. At the start of each of your turns, you can deal 1d4 bludgeoning damage to one creature grappled by you.
Fighter	Base	Second Wind	1	You have a limited well of stamina that you can draw on to protect yourself from harm. On your turn, you can use a bonus action to regain hit points equal to 1d10 + your fighter level. Once you use this feature, you must finish a short or long rest before you can use it again.
Fighter	Base	Action Surge	2	Starting at 2nd level, you can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action. Once you use this feature, you must finish a short or long rest before you can use it again. Starting at 17th level, you can use it twice before a rest, but only once on the same turn.
Fighter	Base	Ability Score Improvement	4	When you reach 4th level, and again at 6th, 8th, 12th, 14th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
Fighter	Base	Extra Attack	5	Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn. The number of attacks increases to three when you reach 11th level in this class and to four when you reach 20th level in this class.
Fighter	Base	Indomitable	9	Beginning at 9th level, you can reroll a saving throw that you fail. If you do so, you must use the new roll, and you can't use this feature again until you finish a long rest. You can use this feature twice between long rests starting at 13th level and three times between long rests starting at 17th level.
Fighter	Battle Master	Combat Superiority	3	When you choose this archetype at 3rd level, you learn maneuvers fueled by special dice called superiority dice. Maneuvers: You learn three maneuvers of your choice. Many maneuvers enhance an attack in some way, and you can use only one maneuver per attack. You learn two additional maneuvers of your choice at 7th, 10th, and 15th level. Each time you learn new maneuvers, you can also replace one maneuver you know with a different one. Superiority Dice: You have four superiority dice, which are d8s. A superiority die is expended when you use it, and you regain all expended superiority dice when you finish a short or long rest. You gain an additional superiority die at 7th level and another at 15th level. Saving Throws: Some maneuvers require your target to make a saving throw to resist the maneuver's effects. The saving throw DC is calculated as follows: Maneuver save DC = 8 + your proficiency bonus + your Strength or Dexterity modifier (your choice).
Fighter	Battle Master	Student Of War	3	At 3rd level, you gain proficiency with one type of artisan's tools of your choice.
Fighter	Battle Master	Know Your Enemy	7	Starting at 7th level, if you spend at least 1 minute observing or interacting with another creature outside combat, you can learn certain information about its capabilities compared to your own. The DM will inform you if the creature is your equal, superior, or inferior in regard to two of the following characteristics of your choice: Strength score, Dexterity score, Constitution score, Armor Class, Current hit points, Total class levels (if any), Fighter class levels (if any).
Fighter	Battle Master	Improved Combat Superiority	10	At 10th level, your superiority dice turn into d10s. At 18th level, they turn into d12s.
Fighter	Battle Master	Relentless	15	Starting at 15th level, when you roll initiative and have no superiority dice remaining, you regain 1 superiority die.
Fighter	Champion	Improved Crical	3	Beginning when you choose this archetype at 3rd level, your weapon attacks score a critical hit on a roll of 19 or 20.
Fighter	Champion	Remarkable Athlete	7	Starting at 7th level, you can add half your proficiency bonus (rounded up) to any Strength, Dexterity, or Constitution check you make that doesn't already use your proficiency bonus. In addition, when you make a running long jump, the distance you can cover increases by a number of feet equal to your Strength modifier.
