Class	Subclass	Feature	Level	Description
Rogue	Base	Expertise	1	At 1st level, choose two of your skill proficiencies, or one of your skill proficiencies and your proficiency with thieves' tools. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies. At 6th level, you can choose two more of your proficiencies (in skills or with thieves' tools) to gain this benefit.
Rogue	Base	Sneak Attack	1	Beginning at 1st level, you know how to strike subtly and exploit a foe's distraction. Once per turn, you can deal an extra 1d6 damage to one creature you hit with an attack if you have advantage on the attack roll. The attack must use a finesse or a ranged weapon. You don't need advantage on the attack roll if another enemy of the target is within 5 feet of it, that enemy isn't incapacitated, and you don't have disadvantage on the attack roll. The amount of the extra damage increases as you gain levels in this class, as shown in the Sneak Attack column of the Rogue table.
Rogue	Base	Thieves' Cant	1	During your rogue training you learned thieves' cant, a secret mix of dialect, jargon, and code that allows you to hide messages in seemingly normal conversation. Only another creature that knows thieves' cant understands such messages. It takes four times longer to convey such a message than it does to speak the same idea plainly. In addition, you understand a set of secret signs and symbols used to convey short, simple messages, such as whether an area is dangerous or the territory of a thieves' guild, whether loot is nearby, or whether the people in an area are easy marks or will provide a safe house for thieves on the run.
Rogue	Base	Cunning Action	2	Starting at 2nd level, your quick thinking and agility allow you to move and act quickly. You can take a bonus action on each of your turns in combat. This action can be used only to take the Dash, Disengage, or Hide action.
Rogue	Base	Ability Score Improvement	4	When you reach 4th level, and again at 8th, 10th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
Rogue	Base	Uncanny Dodge	5	Starting at 5th level, when an attacker that you can see hits you with an attack, you can use your reaction to halve the attack's damage against you.
Rogue	Base	Evasion	7	Beginning at 7th level, you can nimbly dodge out of the way of certain area effects, such as a red dragon's fiery breath or an Ice Storm spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail.
Rogue	Base	Reliable Talent	11	By 11th level, you have refined your chosen skills until they approach perfection. Whenever you make an ability check that lets you add your proficiency bonus, you can treat a d20 roll of 9 or lower as a 10.
Rogue	Base	Blindsense	14	Starting at 14th level, if you are able to hear, you are aware of the location of any hidden or invisible creature within 10 feet of you.
Rogue	Base	Slippery Mind	15	By 15th level, you have acquired greater mental strength. You gain proficiency in Wisdom saving throws.
Rogue	Base	Elusive	18	Beginning at 18th level, you are so evasive that attackers rarely gain the upper hand against you. No attack roll has advantage against you while you aren't incapacitated.
Rogue	Base	Stroke Of Luck	20	At 20th level, you have an uncanny knack for succeeding when you need to. If your attack misses a target within range, you can turn the miss into a hit. Alternatively, if you fail an ability check, you can treat the d20 roll as a 20. Once you use this feature, you can't use it again until you finish a short or long rest.
Rogue	Base	Steady Aim	3	At 3rd level, as a bonus action, you give yourself advantage on your next attack roll on the current turn. You can use this bonus action only if you haven't moved during this turn, and after you use the bonus action, your speed is 0 until the end of the current turn.
Rogue	Arcane Trickster	Spellcasting	3	By the time you reach 3rd level, you augment your martial prowess with the ability to cast spells. Cantrips: You learn three cantrips: Mage Hand and two others of your choice from the wizard spell list. You learn another wizard cantrip of your choice at 10th level. Spell Slots: The Arcane Trickster Spellcasting table shows how many spell slots you have to cast your wizard spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest. For example, if you know the 1st-level spell Charm Person and have a 1st-level and a 2nd-level spell slot available, you can cast Charm Person using either slot. Spells Known of 1st Level and Higher: You know three 1st-level wizard spells of your choice, two of which must be chosen from the enchantment and illusion spells on the wizard spell list. The Spells Known column of the Arcane Trickster Spellcasting table shows when you learn more wizard spells of 1st level or higher. Each of these spells must be an enchantment or illusion spell of your choice and must be of a level for which you have spell slots. For instance, at 7th level, you can learn a new spell of 1st or 2nd level. The spells you learn at 8th, 14th, and 20th level can come from any school of magic. Whenever you gain a level in this class, you can replace one of the wizard spells you know with another spell from the wizard spell list. The new spell must be of a level for which you have spell slots and must be an enchantment or illusion spell unless you're replacing a spell gained at 3rd, 8th, 14th, or 20th level, which can be from any school. Spellcasting Ability: Intelligence is your spellcasting ability for your wizard spells, as you learn your spells through study and memorization. Use your Intelligence modifier when setting the saving throw DC for a wizard spell you cast and for making an attack roll with one. Spell save DC = 8 + your proficiency bonus + your Intelligence modifier; Spell attack modifier = your proficiency bonus + your Intelligence modifier. Spellcasting Focus (Optional): At 2nd level, you can use a druidic focus as a spellcasting focus for your ranger spells. A druidic focus might be a sprig of mistletoe or holly, a wand or rod made of yew or another special wood, a staff drawn whole from a living tree, or an object incorporating feathers, fur, bones, and teeth from sacred animals. Arcane Trickster Spellcasting Table: 3rd level: Mage Hand + 2 other cantrips, 3 spells known, 2 1st-level slots; 4th level: Mage Hand + 2 other cantrips, 4 spells known, 3 1st-level slots; 5th-6th level: Mage Hand + 2 other cantrips, 4 spells known, 3 1st-level slots; 7th level: Mage Hand + 2 other cantrips, 5 spells known, 4 1st-level slots, 2 2nd-level slots; 8th-9th level: Mage Hand + 2 other cantrips, 6 spells known, 4 1st-level slots, 2 2nd-level slots; 10th level: Mage Hand + 3 other cantrips, 7 spells known, 4 1st-level slots, 3 2nd-level slots; 11th-12th level: Mage Hand + 3 other cantrips, 8 spells known, 4 1st-level slots, 3 2nd-level slots; 13th level: Mage Hand + 3 other cantrips, 9 spells known, 4 1st-level slots, 3 2nd-level slots, 2 3rd-level slots; 14th level: Mage Hand + 3 other cantrips, 10 spells known, 4 1st-level slots, 3 2nd-level slots, 2 3rd-level slots; 15th-16th level: Mage Hand + 3 other cantrips, 11 spells known, 4 1st-level slots, 3 2nd-level slots, 3 3rd-level slots; 17th-18th level: Mage Hand + 3 other cantrips, 11 spells known, 4 1st-level slots, 3 2nd-level slots, 3 3rd-level slots; 19th level: Mage Hand + 3 other cantrips, 12 spells known, 4 1st-level slots, 3 2nd-level slots, 3 3rd-level slots, 1 4th-level slot; 20th level: Mage Hand + 3 other cantrips, 13 spells known, 4 1st-level slots, 3 2nd-level slots, 3 3rd-level slots, 1 4th-level slot
Rogue	Arcane Trickster	Mage Hand Legerdemain	3	Starting at 3rd level, when you cast Mage Hand, you can make the spectral hand invisible, and you can perform the following additional tasks with it: You can stow one object the hand is holding in a container worn or carried by another creature; you can retrieve an object in a container worn or carried by another creature; you can use thieves' tools to pick locks and disarm traps at range. You can perform one of these tasks without being noticed by a creature if you succeed on a Dexterity (Sleight of Hand) check contested by the creature's Wisdom (Perception) check. In addition, you can use the bonus action granted by your Cunning Action to control the hand.
Rogue	Arcane Trickster	Magical Ambush	9	Starting at 9th level, if you are hidden from a creature when you cast a spell on it, the creature has disadvantage on any saving throw it makes against the spell this turn.
Rogue	Arcane Trickster	Versatile Trickster	13	At 13th level, you gain the ability to distract targets with your Mage Hand. As a bonus action on your turn, you can designate a creature within 5 feet of the spectral hand created by the spell. Doing so gives you advantage on attack rolls against that creature until the end of the turn.
Rogue	Arcane Trickster	Spell Thief	17	At 17th level, you gain the ability to magically steal the knowledge of how to cast a spell from another spellcaster. Immediately after a creature casts a spell that targets you or includes you in its area of effect, you can use your reaction to force the creature to make a saving throw with its spellcasting ability modifier. The DC equals your spell save DC. On a failed save, you negate the spell's effect against you, and you steal the knowledge of the spell if it is at least 1st level and of a level you can cast (it doesn't need to be a wizard spell). For the next 8 hours, you know the spell and can cast it using your spell slots. The creature can't cast that spell until the 8 hours have passed. Once you use this feature, you can't use it again until you finish a long rest.
Rogue	Assassin	Bonus Proficiencies	3	When you choose this archetype at 3rd level, you gain proficiency with the disguise kit and the poisoner's kit.
Rogue	Assassin	Assassinate	3	Starting at 3rd level, you are at your deadliest when you get the drop on your enemies. You have advantage on attack rolls against any creature that hasn't taken a turn in the combat yet. In addition, any hit you score against a creature that is surprised is a critical hit.
Rogue	Assassin	Infiltration Expertise	9	Starting at 9th level, you can unfailingly create false identities for yourself. You must spend seven days and 25 gp to establish the history, profession, and affiliations for an identity. You can't establish an identity that belongs to someone else. For example, you might acquire appropriate clothing, letters of introduction, and official- looking certification to establish yourself as a member of a trading house from a remote city so you can insinuate yourself into the company of other wealthy merchants. Thereafter, if you adopt the new identity as a disguise, other creatures believe you to be that person until given an obvious reason not to.
Rogue	Assassin	Impostor	13	At 13th level, you gain the ability to unerringly mimic another person's speech, writing, and behavior. You must spend at least three hours studying these three components of the person's behavior, listening to speech, examining handwriting, and observing mannerisms. Your ruse is indiscernible to the casual observer. If a wary creature suspects something is amiss, you have advantage on any Charisma (Deception) check you make to avoid detection.
Rogue	Assassin	Death Strike	17	Starting at 17th level, you become a master of instant death. When you attack and hit a creature that is surprised, it must make a Constitution saving throw (DC 8 + your Dexterity modifier + your proficiency bonus). On a failed save, double the damage of your attack against the creature.
Rogue	Thief	Fast Hands	3	Starting at 3rd level, you can use the bonus action granted by your Cunning Action to make a Dexterity (Sleight of Hand) check, use your thieves' tools to disarm a trap or open a lock, or take the Use an Object action.
Rogue	Thief	Second-Story Wrok	3	When you choose this archetype at 3rd level, you gain the ability to climb faster than normal; climbing no longer costs you extra movement. In addition, when you make a running jump, the distance you cover increases by a number of feet equal to your Dexterity modifier.
